timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
2024/06/05 20:45:46,789,Homepage,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-4,,true,,9618,991,6,6,null,0,131,481
2024/06/05 20:45:46,645,-13 /actions/Catalog.action,200,,Thread Group 1-4,text,true,,2071,491,5,5,https://petstore.octoperf.com/actions/Catalog.action,642,0,481
2024/06/05 20:45:46,139,-23 /images/logo-topbar.svg,200,,Thread Group 1-4,text,true,,7057,500,6,6,https://petstore.octoperf.com/images/logo-topbar.svg,136,0,0
2024/06/05 20:45:47,5,Debug Sampler,200,OK,Thread Group 1-4,text,true,,490,0,6,6,null,0,0,0
2024/06/05 20:45:45,1186,Homepage,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-3,,true,,9620,991,6,6,null,0,130,878
2024/06/05 20:45:45,1042,-13 /actions/Catalog.action,200,,Thread Group 1-3,text,true,,2073,491,5,5,https://petstore.octoperf.com/actions/Catalog.action,1039,0,878
2024/06/05 20:45:46,139,-23 /images/logo-topbar.svg,200,,Thread Group 1-3,text,true,,7057,500,6,6,https://petstore.octoperf.com/images/logo-topbar.svg,137,0,0
2024/06/05 20:45:47,5,Debug Sampler,200,OK,Thread Group 1-3,text,true,,490,0,6,6,null,0,0,0
2024/06/05 20:45:45,1596,Homepage,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-2,,true,,9616,991,6,6,null,0,120,1278
2024/06/05 20:45:45,1442,-13 /actions/Catalog.action,200,,Thread Group 1-2,text,true,,2072,491,5,5,https://petstore.octoperf.com/actions/Catalog.action,1439,0,1278
2024/06/05 20:45:46,148,-23 /images/logo-topbar.svg,200,,Thread Group 1-2,text,true,,7057,500,6,6,https://petstore.octoperf.com/images/logo-topbar.svg,144,0,0
2024/06/05 20:45:44,1903,Homepage,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-1,,true,,9618,991,6,6,null,0,207,1593
2024/06/05 20:45:44,1757,-13 /actions/Catalog.action,200,,Thread Group 1-1,text,true,,2074,491,5,5,https://petstore.octoperf.com/actions/Catalog.action,1754,0,1593
2024/06/05 20:45:46,138,-23 /images/logo-topbar.svg,200,,Thread Group 1-1,text,true,,7057,500,6,6,https://petstore.octoperf.com/images/logo-topbar.svg,134,0,0
2024/06/05 20:45:47,8,Debug Sampler,200,OK,Thread Group 1-1,text,true,,487,0,6,6,null,0,0,0
2024/06/05 20:45:47,6,Debug Sampler,200,OK,Thread Group 1-2,text,true,,487,0,6,6,null,0,0,0
2024/06/05 20:45:46,566,Homepage,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-5,,true,,9614,991,6,6,null,0,8,296
2024/06/05 20:45:46,431,-13 /actions/Catalog.action,200,,Thread Group 1-5,text,true,,2071,491,6,6,https://petstore.octoperf.com/actions/Catalog.action,430,0,296
2024/06/05 20:45:46,134,-23 /images/logo-topbar.svg,200,,Thread Group 1-5,text,true,,7057,500,6,6,https://petstore.octoperf.com/images/logo-topbar.svg,132,0,0
2024/06/05 20:45:47,1,Debug Sampler,200,OK,Thread Group 1-5,text,true,,486,0,6,6,null,0,0,0
2024/06/05 20:45:47,134,ClickOnRandomPet,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,1697,688,6,6,null,0,1,0
2024/06/05 20:45:47,134,-42 /actions/Catalog.action;jsessionid=9A687B5B7E756453090606DCDB935438,200,,Thread Group 1-1,text,true,,1697,688,6,6,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=9A687B5B7E756453090606DCDB935438?viewCategory=&categoryId=FISH,133,0,0
2024/06/05 20:45:47,137,ClickOnRandomPet,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,1672,689,6,6,null,0,2,0
2024/06/05 20:45:47,137,-42 /actions/Catalog.action;jsessionid=5CFE03FFE2C0DBCA7FD2AE0CB6914D14,200,,Thread Group 1-3,text,true,,1672,689,6,6,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=5CFE03FFE2C0DBCA7FD2AE0CB6914D14?viewCategory=&categoryId=BIRDS,137,0,0
2024/06/05 20:45:47,141,ClickOnRandomPet,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,1672,689,6,6,null,0,0,0
2024/06/05 20:45:47,141,-42 /actions/Catalog.action;jsessionid=B31AAD9BD4E52B98655720607F7BD92D,200,,Thread Group 1-4,text,true,,1672,689,6,6,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=B31AAD9BD4E52B98655720607F7BD92D?viewCategory=&categoryId=BIRDS,140,0,0
2024/06/05 20:45:47,141,ClickOnRandomPet,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,1759,688,6,6,null,0,1,0
2024/06/05 20:45:47,141,-42 /actions/Catalog.action;jsessionid=499086A51F8702AA0339C7E37DA55F12,200,,Thread Group 1-2,text,true,,1759,688,6,6,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=499086A51F8702AA0339C7E37DA55F12?viewCategory=&categoryId=DOGS,140,0,0
2024/06/05 20:45:47,134,ClickOnRandomPet,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,1762,688,6,6,null,0,2,0
2024/06/05 20:45:47,134,-42 /actions/Catalog.action;jsessionid=005EF80D4574AB3790E4C369883166F1,200,,Thread Group 1-5,text,true,,1762,688,6,6,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=005EF80D4574AB3790E4C369883166F1?viewCategory=&categoryId=DOGS,133,0,0
2024/06/05 20:45:47,135,ClickOnRandomProduct,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,1773,720,6,6,null,0,0,0
2024/06/05 20:45:47,135,-46 /actions/Catalog.action,200,,Thread Group 1-1,text,true,,1773,720,6,6,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-SW-01,134,0,0
2024/06/05 20:45:47,137,ClickOnRandomProduct,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,1773,720,7,7,null,0,2,0
2024/06/05 20:45:47,137,-46 /actions/Catalog.action,200,,Thread Group 1-3,text,true,,1773,720,7,7,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-SW-01,137,0,0
2024/06/05 20:45:47,139,ClickOnRandomProduct,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,1772,720,7,7,null,0,1,0
2024/06/05 20:45:47,139,-46 /actions/Catalog.action,200,,Thread Group 1-4,text,true,,1772,720,7,7,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-SW-01,138,0,0
2024/06/05 20:45:47,145,ClickOnRandomProduct,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,1771,720,7,7,null,0,2,0
2024/06/05 20:45:47,145,-46 /actions/Catalog.action,200,,Thread Group 1-2,text,true,,1771,720,7,7,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-SW-01,144,0,0
2024/06/05 20:45:47,138,ClickOnRandomProduct,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,1774,720,7,7,null,0,1,0
2024/06/05 20:45:47,138,-46 /actions/Catalog.action,200,,Thread Group 1-5,text,true,,1774,720,7,7,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-SW-01,138,0,0
2024/06/05 20:45:47,134,ClickOnRandomItem,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,1754,669,7,7,null,0,2,0
2024/06/05 20:45:47,134,-47 /actions/Catalog.action,200,,Thread Group 1-1,text,true,,1754,669,7,7,https://petstore.octoperf.com/actions/Catalog.action?viewItem=&itemId=EST-2,134,0,0
2024/06/05 20:45:47,136,ClickOnRandomItem,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,1750,669,7,7,null,0,1,0
