timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1703841633839,1974,CrownUserReg_T01_Homepage,200,"Number of samples in transaction : 2, number of failing samples : 0",UserRegistration 1-1,,true,,9241,1018,12,12,null,0,5772,1477
1703841637075,1149,-317 /,200,OK,UserRegistration 1-1,text,true,,8217,490,7,7,https://crownpharmacywebsite.azurewebsites.net/,1146,0,890
1703841640759,825,-369 /api/v1.0/Timings/GetTimings,200,OK,UserRegistration 1-1,text,true,,1024,528,12,12,https://testcrownpharmacyapi.azurewebsites.net/api/v1.0/Timings/GetTimings,824,0,587
1703841641589,217,CrownUserReg_T02_ClickOnLogin/User,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-1,,true,,6353,1007,12,12,null,0,3,0
1703841641591,217,HTTP Request,200,OK,UserRegistration 1-1,text,true,,6353,1007,12,12,https://crownpharmacywebsite.azurewebsites.net/register%20,217,0,0
1703841635930,1373,CrownUserReg_T01_Homepage,200,"Number of samples in transaction : 2, number of failing samples : 0",UserRegistration 1-4,,true,,7717,1018,14,14,null,0,5693,922
1703841638455,702,-317 /,200,OK,UserRegistration 1-4,text,true,,6693,490,8,8,https://crownpharmacywebsite.azurewebsites.net/,700,0,477
1703841642326,671,-369 /api/v1.0/Timings/GetTimings,200,OK,UserRegistration 1-4,text,true,,1024,528,14,14,https://testcrownpharmacyapi.azurewebsites.net/api/v1.0/Timings/GetTimings,670,0,445
1703841642997,217,CrownUserReg_T02_ClickOnLogin/User,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-4,,true,,6353,1007,14,14,null,0,3,0
1703841642998,217,HTTP Request,200,OK,UserRegistration 1-4,text,true,,6353,1007,14,14,https://crownpharmacywebsite.azurewebsites.net/register%20,216,0,0
1703841635238,1377,CrownUserReg_T01_Homepage,200,"Number of samples in transaction : 2, number of failing samples : 0",UserRegistration 1-3,,true,,7717,1018,14,14,null,0,6748,936
1703841638192,711,-317 /,200,OK,UserRegistration 1-3,text,true,,6693,490,8,8,https://crownpharmacywebsite.azurewebsites.net/,710,0,491
1703841642697,666,-369 /api/v1.0/Timings/GetTimings,200,OK,UserRegistration 1-3,text,true,,1024,528,14,14,https://testcrownpharmacyapi.azurewebsites.net/api/v1.0/Timings/GetTimings,666,0,445
1703841643365,213,CrownUserReg_T02_ClickOnLogin/User,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-3,,true,,6353,1007,14,14,null,0,2,0
1703841643366,213,HTTP Request,200,OK,UserRegistration 1-3,text,true,,6353,1007,14,14,https://crownpharmacywebsite.azurewebsites.net/register%20,212,0,0
