timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1703847507211,1891,CrownUserReg_T01_Homepage,200,"Number of samples in transaction : 2, number of failing samples : 0",UserRegistration 1-1,,true,,9239,1018,10,10,null,0,4501,1378
1703847509601,1051,-317 /,200,OK,UserRegistration 1-1,text,true,,8217,490,5,5,https://crownpharmacywebsite.azurewebsites.net/,1046,0,810
1703847512763,840,-369 /api/v1.0/Timings/GetTimings,200,OK,UserRegistration 1-1,text,true,,1022,528,10,10,https://testcrownpharmacyapi.azurewebsites.net/api/v1.0/Timings/GetTimings,839,0,568
1703847513605,216,CrownUserReg_T02_ClickOnLogin/User,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-1,,true,,6353,1007,10,10,null,0,3,0
1703847513607,216,HTTP Request,200,OK,UserRegistration 1-1,text,true,,6353,1007,10,10,https://crownpharmacywebsite.azurewebsites.net/register%20,215,0,0
1703847507919,1427,CrownUserReg_T01_Homepage,200,"Number of samples in transaction : 2, number of failing samples : 0",UserRegistration 1-2,,true,,7715,1018,12,12,null,0,6254,922
1703847511549,707,-317 /,200,OK,UserRegistration 1-2,text,true,,6693,490,8,8,https://crownpharmacywebsite.azurewebsites.net/,706,0,484
1703847514879,720,-369 /api/v1.0/Timings/GetTimings,200,OK,UserRegistration 1-2,text,true,,1022,528,12,12,https://testcrownpharmacyapi.azurewebsites.net/api/v1.0/Timings/GetTimings,719,0,438
1703847515600,216,CrownUserReg_T02_ClickOnLogin/User,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-2,,true,,6353,1007,13,13,null,0,2,0
1703847515601,216,HTTP Request,200,OK,UserRegistration 1-2,text,true,,6353,1007,13,13,https://crownpharmacywebsite.azurewebsites.net/register%20,215,0,0
1703847509337,1322,CrownUserReg_T01_Homepage,200,"Number of samples in transaction : 2, number of failing samples : 0",UserRegistration 1-4,,true,,7716,1018,13,13,null,0,5597,886
1703847512661,662,-317 /,200,OK,UserRegistration 1-4,text,true,,6693,490,9,9,https://crownpharmacywebsite.azurewebsites.net/,661,0,446
1703847515595,660,-369 /api/v1.0/Timings/GetTimings,200,OK,UserRegistration 1-4,text,true,,1023,528,13,13,https://testcrownpharmacyapi.azurewebsites.net/api/v1.0/Timings/GetTimings,659,0,440
1703847516256,220,CrownUserReg_T02_ClickOnLogin/User,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-4,,true,,6353,1007,14,14,null,0,1,0
1703847516257,220,HTTP Request,200,OK,UserRegistration 1-4,text,true,,6353,1007,14,14,https://crownpharmacywebsite.azurewebsites.net/register%20,219,0,0
1703847510755,1341,CrownUserReg_T01_Homepage,200,"Number of samples in transaction : 2, number of failing samples : 0",UserRegistration 1-6,,true,,7715,1018,16,16,null,0,5964,886
1703847513373,660,-317 /,200,OK,UserRegistration 1-6,text,true,,6693,490,10,10,https://crownpharmacywebsite.azurewebsites.net/,659,0,444
1703847517377,681,-369 /api/v1.0/Timings/GetTimings,200,OK,UserRegistration 1-6,text,true,,1022,528,16,16,https://testcrownpharmacyapi.azurewebsites.net/api/v1.0/Timings/GetTimings,680,0,442
1703847518060,234,CrownUserReg_T02_ClickOnLogin/User,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-6,,true,,6353,1007,16,16,null,0,1,0
1703847518061,234,HTTP Request,200,OK,UserRegistration 1-6,text,true,,6353,1007,16,16,https://crownpharmacywebsite.azurewebsites.net/register%20,233,0,0
1703847508629,1326,CrownUserReg_T01_Homepage,200,"Number of samples in transaction : 2, number of failing samples : 0",UserRegistration 1-3,,true,,7716,1018,16,16,null,0,8388,873
1703847513613,659,-317 /,200,OK,UserRegistration 1-3,text,true,,6693,490,10,10,https://crownpharmacywebsite.azurewebsites.net/,658,0,438
1703847517675,667,-369 /api/v1.0/Timings/GetTimings,200,OK,UserRegistration 1-3,text,true,,1023,528,16,16,https://testcrownpharmacyapi.azurewebsites.net/api/v1.0/Timings/GetTimings,667,0,435
1703847511466,1577,CrownUserReg_T01_Homepage,200,"Number of samples in transaction : 2, number of failing samples : 0",UserRegistration 1-7,,true,,7714,1018,16,16,null,0,5357,869
1703847514357,915,-317 /,200,OK,UserRegistration 1-7,text,true,,6693,490,12,12,https://crownpharmacywebsite.azurewebsites.net/,913,0,437
1703847517736,662,-369 /api/v1.0/Timings/GetTimings,200,OK,UserRegistration 1-7,text,true,,1021,528,16,16,https://testcrownpharmacyapi.azurewebsites.net/api/v1.0/Timings/GetTimings,650,0,432
1703847518342,236,CrownUserReg_T02_ClickOnLogin/User,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-3,,true,,6353,1007,17,17,null,0,2,0
1703847518343,236,HTTP Request,200,OK,UserRegistration 1-3,text,true,,6353,1007,17,17,https://crownpharmacywebsite.azurewebsites.net/register%20,235,0,0
1703847518400,213,CrownUserReg_T02_ClickOnLogin/User,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-7,,true,,6353,1007,17,17,null,0,2,0
1703847518401,213,HTTP Request,200,OK,UserRegistration 1-7,text,true,,6353,1007,17,17,https://crownpharmacywebsite.azurewebsites.net/register%20,212,0,0
1703847512175,1414,CrownUserReg_T01_Homepage,200,"Number of samples in transaction : 2, number of failing samples : 0",UserRegistration 1-8,,true,,7715,1018,18,18,null,0,6204,877
1703847515690,660,-317 /,200,OK,UserRegistration 1-8,text,true,,6693,490,13,13,https://crownpharmacywebsite.azurewebsites.net/,658,0,439
1703847519038,754,-369 /api/v1.0/Timings/GetTimings,200,OK,UserRegistration 1-8,text,true,,1022,528,18,18,https://testcrownpharmacyapi.azurewebsites.net/api/v1.0/Timings/GetTimings,747,0,438
1703847519793,220,CrownUserReg_T02_ClickOnLogin/User,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-8,,true,,6353,1007,19,19,null,0,2,0
1703847519794,220,HTTP Request,200,OK,UserRegistration 1-8,text,true,,6353,1007,19,19,https://crownpharmacywebsite.azurewebsites.net/register%20,219,0,0
1703847510046,1364,CrownUserReg_T01_Homepage,200,"Number of samples in transaction : 2, number of failing samples : 0",UserRegistration 1-5,,true,,7715,1018,19,19,null,0,8777,888
1703847515019,664,-317 /,200,OK,UserRegistration 1-5,text,true,,6693,490,12,12,https://crownpharmacywebsite.azurewebsites.net/,663,0,447
1703847519486,700,-369 /api/v1.0/Timings/GetTimings,200,OK,UserRegistration 1-5,text,true,,1022,528,19,19,https://testcrownpharmacyapi.azurewebsites.net/api/v1.0/Timings/GetTimings,699,0,441
1703847520187,216,CrownUserReg_T02_ClickOnLogin/User,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-5,,true,,6353,1007,19,19,null,0,2,0
1703847520188,216,HTTP Request,200,OK,UserRegistration 1-5,text,true,,6353,1007,19,19,https://crownpharmacywebsite.azurewebsites.net/register%20,215,0,0
1703847514306,1317,CrownUserReg_T01_Homepage,200,"Number of samples in transaction : 2, number of failing samples : 0",UserRegistration 1-11,,true,,7716,1018,20,20,null,0,5093,885
1703847516676,663,-317 /,200,OK,UserRegistration 1-11,text,true,,6693,490,15,15,https://crownpharmacywebsite.azurewebsites.net/,662,0,446
1703847520060,654,-369 /api/v1.0/Timings/GetTimings,200,OK,UserRegistration 1-11,text,true,,1023,528,20,20,https://testcrownpharmacyapi.azurewebsites.net/api/v1.0/Timings/GetTimings,654,0,439
1703847520715,217,CrownUserReg_T02_ClickOnLogin/User,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-11,,true,,6353,1007,20,20,null,0,2,0
1703847520716,217,HTTP Request,200,OK,UserRegistration 1-11,text,true,,6353,1007,20,20,https://crownpharmacywebsite.azurewebsites.net/register%20,216,0,0
1703847512884,1322,CrownUserReg_T01_Homepage,200,"Number of samples in transaction : 2, number of failing samples : 0",UserRegistration 1-9,,true,,7717,1018,20,20,null,0,7048,882
1703847516028,661,-317 /,200,OK,UserRegistration 1-9,text,true,,6693,490,14,14,https://crownpharmacywebsite.azurewebsites.net/,660,0,445
1703847520592,661,-369 /api/v1.0/Timings/GetTimings,200,OK,UserRegistration 1-9,text,true,,1024,528,20,20,https://testcrownpharmacyapi.azurewebsites.net/api/v1.0/Timings/GetTimings,660,0,437
1703847515819,1534,CrownUserReg_T03_FillDetailsClickRequestOTP,200,"Number of samples in transaction : 3, number of failing samples : 0",UserRegistration 1-2,,true,,1239,1612,20,20,null,0,3916,0
1703847517069,348,-413 /api/v1.0/Accounts/SignUp,204,No Content,UserRegistration 1-2,,true,,252,754,15,15,https://testcrownpharmacyapi.azurewebsites.net/api/v1.0/Accounts/SignUp,0,0,0
1703847518923,1182,-414 /api/v1.0/Accounts/SignUp,200,OK,UserRegistration 1-2,text,true,,558,858,19,19,https://testcrownpharmacyapi.azurewebsites.net/api/v1.0/Accounts/SignUp,1182,0,0
1703847521264,4,Debug Sampler,200,OK,UserRegistration 1-2,text,true,,429,0,20,20,null,0,0,0
1703847521255,229,CrownUserReg_T02_ClickOnLogin/User,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-9,,true,,6353,1007,21,21,null,0,1,0
1703847521255,229,HTTP Request,200,OK,UserRegistration 1-9,text,true,,6353,1007,21,21,https://crownpharmacywebsite.azurewebsites.net/register%20,229,0,0
1703847513595,1292,CrownUserReg_T01_Homepage,200,"Number of samples in transaction : 2, number of failing samples : 0",UserRegistration 1-10,,true,,7717,1018,23,23,null,0,8088,864
1703847517325,654,-317 /,200,OK,UserRegistration 1-10,text,true,,6693,490,16,16,https://crownpharmacywebsite.azurewebsites.net/,652,0,437
1703847522335,638,-369 /api/v1.0/Timings/GetTimings,200,OK,UserRegistration 1-10,text,true,,1024,528,23,23,https://testcrownpharmacyapi.azurewebsites.net/api/v1.0/Timings/GetTimings,638,0,427
1703847513824,1352,CrownUserReg_T03_FillDetailsClickRequestOTP,200,"Number of samples in transaction : 3, number of failing samples : 0",UserRegistration 1-1,,true,,1240,1612,23,23,null,0,7904,0
1703847517276,215,-413 /api/v1.0/Accounts/SignUp,204,No Content,UserRegistration 1-1,,true,,252,754,15,15,https://testcrownpharmacyapi.azurewebsites.net/api/v1.0/Accounts/SignUp,0,0,0
1703847519426,1136,-414 /api/v1.0/Accounts/SignUp,200,OK,UserRegistration 1-1,text,true,,558,858,19,19,https://testcrownpharmacyapi.azurewebsites.net/api/v1.0/Accounts/SignUp,1136,0,0
1703847523078,1,Debug Sampler,200,OK,UserRegistration 1-1,text,true,,430,0,23,23,null,0,0,0
