Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
BookingServiceAsaUser_T01_HomePage,100,4.913,4.521,5.636,7.685,9.11,4.245,9.38,0.00%,1.26576,768.24,9.64
BookingServiceAsaUser_T02_ClickOnLogin,100,0.9,0.69,1.474,2.365,2.577,0.633,2.916,0.00%,1.33284,13.56,2.79
BookingServiceAsaUser_T03_EnterMail&RequestOTP,100,1.557,1.27,2.51,3.09,3.749,1.012,4.09,0.00%,1.32487,0.67,1.04
BookingServiceAsaUser_T04_EnterOTP&ClickVerify,100,5.125,4.364,7.45,9.549,11.056,3.616,11.106,0.00%,1.27959,30.97,18.53
BookingServiceAsaUser_T05_SelectServiceRandomly,100,3.206,2.664,4.937,6.696,8.285,2.365,8.35,0.00%,1.30098,23.86,12.32
BookingServiceAsaUser_T06_ChooseRandomCategory&SelectTimeSlot,100,3.025,2.509,4.066,6.439,8.313,2.189,8.966,0.00%,1.30588,3.21,7.25
BookingServiceAsaUser_T07_ClickOnHome,100,4.197,3.56,6.195,7.848,9.878,2.994,10.24,0.00%,1.2831,21.73,15.7
BookingServiceAsaUser_T08_ClickMyBookings,100,0.681,0.494,1.102,2.219,2.591,0.419,2.698,0.00%,1.32956,1.21,2.33
BookingServiceAsaUser_T09_LogOff,100,2.455,1.858,4.185,5.904,6.284,1.489,6.604,0.00%,1.3108,19.94,6.28
BookServiceAsGuest_T01_Homepage,100,3.856,3.219,5.846,6.826,8.03,2.561,8.521,0.00%,1.33333,29.44,6.8
BookServiceAsGuest_T02_SelectServiceRandomly,100,1.918,1.481,3.451,3.966,4.508,1.071,4.855,0.00%,1.36197,32.82,4.71
BookServiceAsGuest_T03_ChooseAvailableTime&ClickNext,100,0.514,0.318,1.148,1.463,1.733,0.214,2.161,0.00%,1.37535,0.74,0.96
BookServiceAsGuest_T04_FillDetails&ClickNext,100,3.603,3.558,5.379,5.773,7.369,1.831,7.776,2.00%,1.34742,1.97,4.51
BookServiceAsGuest_T05_EnterOTPClickSubmit,100,5.49,5.309,7.658,8.104,9.151,2.729,9.244,15.00%,1.27849,2.85,4.12
BookServiceAsGuest_T06_ClickHome,100,3.572,3.186,5.273,6.241,7.55,2.017,7.75,0.00%,1.30419,28.63,8.16
BookServiceAsGuest_T07_ClickOnLogin,100,1.031,0.801,1.711,2.261,2.645,0.629,3.164,0.00%,1.33326,49.67,1.55
BookServiceAsGuest_T08_EnterMailClickRrequestOTP,100,2.39,2.432,3.378,4.569,4.62,1.087,4.666,6.00%,1.29433,0.63,1.23
BookServiceAsGuest_T09_EnterOTPClickVerify,100,1.389,1.059,2.41,2.754,4.302,0.651,4.304,0.00%,1.29884,48.97,2.64
BookServiceAsGuest_T10_ClickMyBookings,100,0.931,0.666,1.854,2.489,2.797,0.421,3.411,0.00%,1.31959,1.16,2.59
BookServiceAsGuest_T11_LogOff,100,0.214,0.214,0.218,0.224,0.229,0.211,0.23,0.00%,1.34951,49.44,0.41
CrownUserReg_T01_Homepage,100,1.414,1.325,1.577,1.819,2.07,1.266,4.39,0.00%,1.39464,10.53,1.39
CrownUserReg_T02_ClickOnLogin/User,100,0.228,0.215,0.228,0.235,0.321,0.209,1.253,0.00%,1.38514,8.59,1.36
CrownUserReg_T03_FillDetailsClickRequestOTP,100,1.733,1.507,2.588,2.728,3.209,1.229,3.386,2.00%,1.3634,1.64,2.15
CrownUserReg_T04_EnterOTP&ClickVerify,100,1.664,1.541,2.272,2.522,2.957,0.427,2.969,7.00%,1.34795,1.09,2.07
CrownUserReg_T05_ClickOnLogin,100,0.721,0.659,0.797,1.016,1.811,0.633,1.855,0.00%,1.37631,14,2.88
CrownUserReg_T06_EnterMail&RequestOTP,100,1.31,1.22,1.954,2.14,2.498,0.216,2.522,7.00%,1.36958,0.67,1.07
CrownUserReg_T07_EnterOTP&ClickVerify,100,0.818,0.672,1.339,1.475,1.812,0.632,1.848,2.00%,1.39472,10.12,3.13
CrownUserReg_T08_ClickOnMyProfile,100,0.542,0.447,0.825,1.075,1.309,0.422,1.453,7.00%,1.39414,1.25,2.46
CrownUserReg_T09_LogOff,100,0.225,0.216,0.228,0.244,0.42,0.211,0.623,0.00%,1.4008,51.32,0.43
