timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1703853806263,1924,CrownUserReg_T01_Homepage,200,"Number of samples in transaction : 2, number of failing samples : 0",UserRegistration 1-1,,true,,9240,1018,14,14,null,0,7413,1415
1703853809948,1114,-317 /,200,OK,UserRegistration 1-1,text,true,,8216,490,7,7,https://crownpharmacywebsite.azurewebsites.net/,1110,0,847
1703853814789,810,-369 /api/v1.0/Timings/GetTimings,200,OK,UserRegistration 1-1,text,true,,1024,528,14,14,https://testcrownpharmacyapi.azurewebsites.net/api/v1.0/Timings/GetTimings,809,0,568
1703853815601,213,CrownUserReg_T02_ClickOnLogin/User,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-1,,true,,6354,1007,14,14,null,0,2,0
1703853815602,213,HTTP Request,200,OK,UserRegistration 1-1,text,true,,6354,1007,14,14,https://crownpharmacywebsite.azurewebsites.net/register%20,213,0,0
1703853809807,1365,CrownUserReg_T01_Homepage,200,"Number of samples in transaction : 2, number of failing samples : 0",UserRegistration 1-6,,true,,7718,1018,14,14,null,0,4776,923
1703853812121,712,-317 /,200,OK,UserRegistration 1-6,text,true,,6694,490,10,10,https://crownpharmacywebsite.azurewebsites.net/,710,0,490
1703853815294,653,-369 /api/v1.0/Timings/GetTimings,200,OK,UserRegistration 1-6,text,true,,1024,528,14,14,https://testcrownpharmacyapi.azurewebsites.net/api/v1.0/Timings/GetTimings,652,0,433
1703853815948,215,CrownUserReg_T02_ClickOnLogin/User,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-6,,true,,6354,1007,14,14,null,0,1,0
1703853815949,215,HTTP Request,200,OK,UserRegistration 1-6,text,true,,6354,1007,14,14,https://crownpharmacywebsite.azurewebsites.net/register%20,214,0,0
1703853806968,1363,CrownUserReg_T01_Homepage,200,"Number of samples in transaction : 2, number of failing samples : 0",UserRegistration 1-2,,true,,7719,1018,15,15,null,0,7922,913
1703853811766,701,-317 /,200,OK,UserRegistration 1-2,text,true,,6694,490,9,9,https://crownpharmacywebsite.azurewebsites.net/,699,0,479
1703853815591,662,-369 /api/v1.0/Timings/GetTimings,200,OK,UserRegistration 1-2,text,true,,1025,528,15,15,https://testcrownpharmacyapi.azurewebsites.net/api/v1.0/Timings/GetTimings,657,0,434
1703853808388,1302,CrownUserReg_T01_Homepage,200,"Number of samples in transaction : 2, number of failing samples : 0",UserRegistration 1-4,,true,,7713,1018,15,15,null,0,6603,871
1703853812791,647,-317 /,200,OK,UserRegistration 1-4,text,true,,6694,490,11,11,https://crownpharmacywebsite.azurewebsites.net/,646,0,434
1703853815637,655,-369 /api/v1.0/Timings/GetTimings,200,OK,UserRegistration 1-4,text,true,,1019,528,15,15,https://testcrownpharmacyapi.azurewebsites.net/api/v1.0/Timings/GetTimings,655,0,437
1703853807681,1344,CrownUserReg_T01_Homepage,200,"Number of samples in transaction : 2, number of failing samples : 0",UserRegistration 1-3,,true,,7718,1018,15,15,null,0,7379,913
1703853810566,700,-317 /,200,OK,UserRegistration 1-3,text,true,,6694,490,8,8,https://crownpharmacywebsite.azurewebsites.net/,699,0,482
1703853815760,644,-369 /api/v1.0/Timings/GetTimings,200,OK,UserRegistration 1-3,text,true,,1024,528,15,15,https://testcrownpharmacyapi.azurewebsites.net/api/v1.0/Timings/GetTimings,643,0,431
1703853816254,213,CrownUserReg_T02_ClickOnLogin/User,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-2,,true,,6354,1007,15,15,null,0,1,0
1703853816254,213,HTTP Request,200,OK,UserRegistration 1-2,text,true,,6354,1007,15,15,https://crownpharmacywebsite.azurewebsites.net/register%20,212,0,0
1703853816293,212,CrownUserReg_T02_ClickOnLogin/User,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-4,,true,,6354,1007,15,15,null,0,1,0
1703853816294,212,HTTP Request,200,OK,UserRegistration 1-4,text,true,,6354,1007,15,15,https://crownpharmacywebsite.azurewebsites.net/register%20,211,0,0
1703853816405,213,CrownUserReg_T02_ClickOnLogin/User,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-3,,true,,6354,1007,15,15,null,0,1,0
1703853816405,213,HTTP Request,200,OK,UserRegistration 1-3,text,true,,6354,1007,15,15,https://crownpharmacywebsite.azurewebsites.net/register%20,213,0,0
1703853809097,1378,CrownUserReg_T01_Homepage,200,"Number of samples in transaction : 2, number of failing samples : 0",UserRegistration 1-5,,true,,7718,1018,16,16,null,0,6777,938
1703853812598,725,-317 /,200,OK,UserRegistration 1-5,text,true,,6694,490,10,10,https://crownpharmacywebsite.azurewebsites.net/,723,0,500
1703853816599,653,-369 /api/v1.0/Timings/GetTimings,200,OK,UserRegistration 1-5,text,true,,1024,528,16,16,https://testcrownpharmacyapi.azurewebsites.net/api/v1.0/Timings/GetTimings,652,0,438
1703853817253,216,CrownUserReg_T02_ClickOnLogin/User,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-5,,true,,6354,1007,16,16,null,0,1,0
1703853817253,216,HTTP Request,200,OK,UserRegistration 1-5,text,true,,6354,1007,16,16,https://crownpharmacywebsite.azurewebsites.net/register%20,215,0,0
1703853812647,1292,CrownUserReg_T01_Homepage,200,"Number of samples in transaction : 2, number of failing samples : 0",UserRegistration 1-10,,true,,7718,1018,18,18,null,0,5077,869
1703853815262,646,-317 /,200,OK,UserRegistration 1-10,text,true,,6694,490,14,14,https://crownpharmacywebsite.azurewebsites.net/,645,0,435
1703853818369,646,-369 /api/v1.0/Timings/GetTimings,200,OK,UserRegistration 1-10,text,true,,1024,528,18,18,https://testcrownpharmacyapi.azurewebsites.net/api/v1.0/Timings/GetTimings,646,0,434
1703853819016,216,CrownUserReg_T02_ClickOnLogin/User,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-10,,true,,6354,1007,19,19,null,0,1,0
1703853819017,216,HTTP Request,200,OK,UserRegistration 1-10,text,true,,6354,1007,19,19,https://crownpharmacywebsite.azurewebsites.net/register%20,215,0,0
1703853811226,1432,CrownUserReg_T01_Homepage,200,"Number of samples in transaction : 2, number of failing samples : 0",UserRegistration 1-8,,true,,7718,1018,19,19,null,0,7036,898
1703853814114,670,-317 /,200,OK,UserRegistration 1-8,text,true,,6694,490,13,13,https://crownpharmacywebsite.azurewebsites.net/,669,0,452
1703853818931,762,-369 /api/v1.0/Timings/GetTimings,200,OK,UserRegistration 1-8,text,true,,1024,528,19,19,https://testcrownpharmacyapi.azurewebsites.net/api/v1.0/Timings/GetTimings,762,0,446
1703853819694,216,CrownUserReg_T02_ClickOnLogin/User,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-8,,true,,6354,1007,20,20,null,0,2,0
1703853819695,216,HTTP Request,200,OK,UserRegistration 1-8,text,true,,6354,1007,20,20,https://crownpharmacywebsite.azurewebsites.net/register%20,216,0,0
1703853811937,1488,CrownUserReg_T01_Homepage,200,"Number of samples in transaction : 2, number of failing samples : 0",UserRegistration 1-9,,true,,7718,1018,20,20,null,0,6600,893
1703853815637,662,-317 /,200,OK,UserRegistration 1-9,text,true,,6694,490,15,15,https://crownpharmacywebsite.azurewebsites.net/,661,0,447
1703853819198,826,-369 /api/v1.0/Timings/GetTimings,200,OK,UserRegistration 1-9,text,true,,1024,528,20,20,https://testcrownpharmacyapi.azurewebsites.net/api/v1.0/Timings/GetTimings,825,0,446
