timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1704290597720,1473,DashBoard_Navigation_T01_HomePage,200,"Number of samples in transaction : 2, number of failing samples : 0",DashBoard_Navigation 1-1,,true,,113542,1563,3,3,null,0,5,605
1704290597721,833,DashBoard_Navigation_T01_HomePage-0,200,OK,DashBoard_Navigation 1-1,text,true,,10269,656,2,2,https://crownpharmacywebadmin.azurewebsites.net/,832,0,605
1704290598557,640,DashBoard_Navigation_T01_HomePage-1,200,OK,DashBoard_Navigation 1-1,text,true,,103273,907,3,3,https://crownpharmacywebadmin.azurewebsites.net/assets/vendor/fonts/boxicons/boxicons.woff2,229,0,0
1704290598223,1390,DashBoard_Navigation_T01_HomePage,200,"Number of samples in transaction : 2, number of failing samples : 0",DashBoard_Navigation 1-2,,true,,113542,1563,4,4,null,0,4,508
1704290598225,743,DashBoard_Navigation_T01_HomePage-0,200,OK,DashBoard_Navigation 1-2,text,true,,10269,656,3,3,https://crownpharmacywebadmin.azurewebsites.net/,743,0,508
1704290598970,647,DashBoard_Navigation_T01_HomePage-1,200,OK,DashBoard_Navigation 1-2,text,true,,103273,907,4,4,https://crownpharmacywebadmin.azurewebsites.net/assets/vendor/fonts/boxicons/boxicons.woff2,221,0,0
1704290598724,1413,DashBoard_Navigation_T01_HomePage,200,"Number of samples in transaction : 2, number of failing samples : 0",DashBoard_Navigation 1-3,,true,,113542,1563,5,5,null,0,4,512
1704290598726,772,DashBoard_Navigation_T01_HomePage-0,200,OK,DashBoard_Navigation 1-3,text,true,,10269,656,4,4,https://crownpharmacywebadmin.azurewebsites.net/,772,0,512
1704290599500,641,DashBoard_Navigation_T01_HomePage-1,200,OK,DashBoard_Navigation 1-3,text,true,,103273,907,5,5,https://crownpharmacywebadmin.azurewebsites.net/assets/vendor/fonts/boxicons/boxicons.woff2,216,0,0
1704290599200,1377,DashBoard_Navigation_T02_Login,200,"Number of samples in transaction : 3, number of failing samples : 0",DashBoard_Navigation 1-1,,true,,56147,3313,6,6,null,0,6,0
1704290599200,924,DashBoard_Navigation_T02_Login-0,200,OK,DashBoard_Navigation 1-1,text,true,,28057,2224,5,5,https://crownpharmacywebadmin.azurewebsites.net/Dashboard/Dashboard,539,0,0
