Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
DashBoard_Navigation_T01_HomePage,10,1.627,1.577,1.841,1.841,2.162,1.39,2.162,0.00%,1.49993,166.31,2.29
DashBoard_Navigation_T02_Login,10,2.565,2.755,3.389,3.389,3.453,1.377,3.453,0.00%,1.25031,68.54,4.04
DashBoard_Navigation_T03_ClickOnSetUp,10,0.786,0.657,1.023,1.023,1.24,0.578,1.24,0.00%,1.38773,83.04,5.12
DashBoard_Navigation_T04_ClickOnOpeningHours,10,0.354,0.305,0.36,0.36,0.812,0.228,0.812,0.00%,1.52929,30.55,1.64
DashBoard_Navigation_T05_ClickOnClosingHours,10,0.303,0.278,0.337,0.337,0.422,0.251,0.422,0.00%,1.52812,37.91,1.63
DashBoard_Navigation_T06_ClickOnServices,10,0.332,0.29,0.409,0.409,0.512,0.252,0.512,0.00%,1.53398,77.32,1.63
DashBoard_Navigation_T07_ClickOnEPSNomination,10,0.547,0.542,0.569,0.569,0.611,0.498,0.611,0.00%,1.47059,239.99,1.58
DashBoard_Navigation_T08_ClickOnBookings,10,0.435,0.308,0.707,0.707,1.193,0.264,1.193,0.00%,1.53445,431.63,1.63
DashBoard_Navigation_T09_ClickOnContactList,10,0.284,0.273,0.305,0.305,0.35,0.253,0.35,0.00%,1.79019,59.72,1.91
DashBoard_Navigation_T10_ClickOnRequestCallBackList,10,0.35,0.287,0.545,0.545,0.66,0.237,0.66,0.00%,1.78859,100.56,1.92
DashBoard_Navigation_T11_ClickOnUsers,10,0.411,0.392,0.498,0.498,0.563,0.348,0.563,0.00%,1.85082,414.12,1.96
DashBoard_Navigation_T12_ClickOnPrivacyPolicy&Update,10,0.809,0.807,0.867,0.867,0.905,0.707,0.905,0.00%,1.77557,110.6,26.71
DashBoard_Navigation_T13_ClickOnTerms&Condition&Update,10,0.549,0.565,0.588,0.588,0.601,0.454,0.601,0.00%,1.87231,116.73,28.17
DashBoard_Navigation_T14_ClickOnAboutUs,10,0.537,0.536,0.573,0.573,0.574,0.488,0.574,0.00%,1.87688,71.73,6.22
DashBoard_Navigation_T15_ClickOnFooter,10,0.537,0.543,0.564,0.564,0.57,0.472,0.57,0.00%,1.87266,83.01,6.53
DashBoard_Navigation_T16_Logout,10,0.745,0.782,0.804,0.804,0.815,0.657,0.815,0.00%,1.79921,35.84,5.71
AddService_T01_Homepage,10,1.656,1.569,2.028,2.028,2.181,1.371,2.181,0.00%,1.70039,189.73,2.08
AddService_T02_EnterCredentialsckickOK,10,2.362,2.299,2.669,2.669,2.817,1.466,2.817,0.00%,1.46886,80.79,4.15
AddService_T03_ClickServices,10,0.352,0.303,0.447,0.447,0.757,0.231,0.757,0.00%,1.78285,98.09,1.62
AddService_T04_ClickonAddService,10,0.428,0.271,0.836,0.836,0.841,0.22,0.841,0.00%,1.79276,36.56,1.63
AddService_T05_FillDetailsClickOK,10,1.301,1.102,1.739,1.739,2.2,0.926,2.2,0.00%,1.71497,104.38,163.3
TOTAL,210,0.822,0.551,1.841,2.346,3.04,0.22,3.453,0.00%,8.11563,621.62,61.11
