timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1703576346189,865,CrownUserReg_T01_Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-2,,true,,6692,490,3,3,null,0,11,618
1703576345708,1248,CrownUserReg_T01_Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-1,,true,,8216,490,3,3,null,0,109,1002
1703576346191,865,-317 /,200,OK,UserRegistration 1-2,text,true,,6692,490,3,3,https://crownpharmacywebsite.azurewebsites.net/,864,0,618
1703576345807,1248,-317 /,200,OK,UserRegistration 1-1,text,true,,8216,490,3,3,https://crownpharmacywebsite.azurewebsites.net/,1245,0,1002
1703576347067,216,CrownUserReg_T02_ClickOnLogin/User,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-1,,true,,6352,1007,4,4,null,0,2,0
1703576347068,216,HTTP Request,200,OK,UserRegistration 1-1,text,true,,6352,1007,4,4,https://crownpharmacywebsite.azurewebsites.net/register%20,215,0,0
1703576347067,224,CrownUserReg_T02_ClickOnLogin/User,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-2,,true,,6352,1007,4,4,null,0,2,0
1703576347068,224,HTTP Request,200,OK,UserRegistration 1-2,text,true,,6352,1007,4,4,https://crownpharmacywebsite.azurewebsites.net/register%20,222,0,0
1703576346685,678,CrownUserReg_T01_Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-3,,true,,6692,490,4,4,null,0,5,451
1703576346688,678,-317 /,200,OK,UserRegistration 1-3,text,true,,6692,490,4,4,https://crownpharmacywebsite.azurewebsites.net/,677,0,451
1703576347368,219,CrownUserReg_T02_ClickOnLogin/User,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-3,,true,,6352,1007,4,4,null,0,2,0
1703576347369,219,HTTP Request,200,OK,UserRegistration 1-3,text,true,,6352,1007,4,4,https://crownpharmacywebsite.azurewebsites.net/register%20,217,0,0
1703576347185,677,CrownUserReg_T01_Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-4,,true,,6692,490,5,5,null,0,3,439
1703576347187,677,-317 /,200,OK,UserRegistration 1-4,text,true,,6692,490,5,5,https://crownpharmacywebsite.azurewebsites.net/,675,0,439
1703576347866,212,CrownUserReg_T02_ClickOnLogin/User,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-4,,true,,6352,1007,5,5,null,0,2,0
1703576347867,212,HTTP Request,200,OK,UserRegistration 1-4,text,true,,6352,1007,5,5,https://crownpharmacywebsite.azurewebsites.net/register%20,211,0,0
1703576347684,655,CrownUserReg_T01_Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-5,,true,,6692,490,6,6,null,0,3,439
1703576347685,655,-317 /,200,OK,UserRegistration 1-5,text,true,,6692,490,6,6,https://crownpharmacywebsite.azurewebsites.net/,653,0,439
1703576348343,216,CrownUserReg_T02_ClickOnLogin/User,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-5,,true,,6352,1007,6,6,null,0,2,0
1703576348344,216,HTTP Request,200,OK,UserRegistration 1-5,text,true,,6352,1007,6,6,https://crownpharmacywebsite.azurewebsites.net/register%20,215,0,0
1703576348183,690,CrownUserReg_T01_Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-6,,true,,6692,490,7,7,null,0,2,461
1703576348184,690,-317 /,200,OK,UserRegistration 1-6,text,true,,6692,490,7,7,https://crownpharmacywebsite.azurewebsites.net/,688,0,461
1703576348875,218,CrownUserReg_T02_ClickOnLogin/User,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-6,,true,,6352,1007,7,7,null,0,4,0
1703576348876,218,HTTP Request,200,OK,UserRegistration 1-6,text,true,,6352,1007,7,7,https://crownpharmacywebsite.azurewebsites.net/register%20,217,0,0
1703576348682,681,CrownUserReg_T01_Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-7,,true,,6692,490,8,8,null,0,2,464
1703576348683,681,-317 /,200,OK,UserRegistration 1-7,text,true,,6692,490,8,8,https://crownpharmacywebsite.azurewebsites.net/,680,0,464
1703576349365,218,CrownUserReg_T02_ClickOnLogin/User,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-7,,true,,6352,1007,8,8,null,0,1,0
1703576349365,218,HTTP Request,200,OK,UserRegistration 1-7,text,true,,6352,1007,8,8,https://crownpharmacywebsite.azurewebsites.net/register%20,218,0,0
1703576349173,654,CrownUserReg_T01_Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-8,,true,,6692,490,9,9,null,0,2,436
1703576349174,654,-317 /,200,OK,UserRegistration 1-8,text,true,,6692,490,9,9,https://crownpharmacywebsite.azurewebsites.net/,653,0,436
1703576349829,214,CrownUserReg_T02_ClickOnLogin/User,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-8,,true,,6352,1007,9,9,null,0,0,0
1703576349829,214,HTTP Request,200,OK,UserRegistration 1-8,text,true,,6352,1007,9,9,https://crownpharmacywebsite.azurewebsites.net/register%20,213,0,0
1703576349670,655,CrownUserReg_T01_Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-9,,true,,6692,490,10,10,null,0,2,436
1703576349671,655,-317 /,200,OK,UserRegistration 1-9,text,true,,6692,490,10,10,https://crownpharmacywebsite.azurewebsites.net/,655,0,436
1703576350327,218,CrownUserReg_T02_ClickOnLogin/User,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-9,,true,,6352,1007,10,10,null,0,1,0
1703576350327,218,HTTP Request,200,OK,UserRegistration 1-9,text,true,,6352,1007,10,10,https://crownpharmacywebsite.azurewebsites.net/register%20,217,0,0
1703576350167,682,CrownUserReg_T01_Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-10,,true,,6692,490,11,11,null,0,2,451
1703576350168,682,-317 /,200,OK,UserRegistration 1-10,text,true,,6692,490,11,11,https://crownpharmacywebsite.azurewebsites.net/,681,0,451
1703576350851,225,CrownUserReg_T02_ClickOnLogin/User,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-10,,true,,6352,1007,11,11,null,0,2,0
1703576350852,225,HTTP Request,200,OK,UserRegistration 1-10,text,true,,6352,1007,11,11,https://crownpharmacywebsite.azurewebsites.net/register%20,223,0,0
1703576350672,674,CrownUserReg_T01_Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-11,,true,,6692,490,12,12,null,0,4,449
1703576350674,674,-317 /,200,OK,UserRegistration 1-11,text,true,,6692,490,12,12,https://crownpharmacywebsite.azurewebsites.net/,673,0,449
1703576347286,4096,CrownUserReg_T03_FillDetailsClickRequestOTP,200,"Number of samples in transaction : 2, number of failing samples : 0",UserRegistration 1-1,,true,,1152,1437,12,12,null,0,9,581
1703576347290,821,-413 /api/v1.0/Accounts/SignUp,204,No Content,UserRegistration 1-1,,true,,592,582,5,5,https://testcrownpharmacyapi.azurewebsites.net/api/v1.0/Accounts/SignUp,0,0,581
1703576348112,3275,-414 /api/v1.0/Accounts/SignUp,200,OK,UserRegistration 1-1,text,true,,560,855,12,12,https://testcrownpharmacyapi.azurewebsites.net/api/v1.0/Accounts/SignUp,3274,0,0
1703576347294,4171,CrownUserReg_T03_FillDetailsClickRequestOTP,200,"Number of samples in transaction : 2, number of failing samples : 0",UserRegistration 1-2,,true,,1148,1436,12,12,null,0,2,577
1703576347295,795,-413 /api/v1.0/Accounts/SignUp,204,No Content,UserRegistration 1-2,,true,,592,582,5,5,https://testcrownpharmacyapi.azurewebsites.net/api/v1.0/Accounts/SignUp,0,0,577
1703576348091,3376,-414 /api/v1.0/Accounts/SignUp,200,OK,UserRegistration 1-2,text,true,,556,854,12,12,https://testcrownpharmacyapi.azurewebsites.net/api/v1.0/Accounts/SignUp,3375,0,0
1703576347590,3882,CrownUserReg_T03_FillDetailsClickRequestOTP,200,"Number of samples in transaction : 2, number of failing samples : 0",UserRegistration 1-3,,true,,1156,1442,12,12,null,0,2,442
1703576347591,663,-413 /api/v1.0/Accounts/SignUp,204,No Content,UserRegistration 1-3,,true,,592,582,6,6,https://testcrownpharmacyapi.azurewebsites.net/api/v1.0/Accounts/SignUp,0,0,442
1703576348255,3219,-414 /api/v1.0/Accounts/SignUp,200,OK,UserRegistration 1-3,text,true,,564,860,12,12,https://testcrownpharmacyapi.azurewebsites.net/api/v1.0/Accounts/SignUp,3217,0,0
1703576351350,219,CrownUserReg_T02_ClickOnLogin/User,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-11,,true,,6352,1007,12,12,null,0,3,0
1703576351352,219,HTTP Request,200,OK,UserRegistration 1-11,text,true,,6352,1007,12,12,https://crownpharmacywebsite.azurewebsites.net/register%20,218,0,0
1703576351163,664,CrownUserReg_T01_Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",UserRegistration 1-12,,true,,6692,490,13,13,null,0,3,443
