timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1708431109354,723,PerStoreCart_T01_Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",AddToCart 1-2,,true,,5428,491,3,3,null,0,5,528
1708431109355,723,-31 /actions/Catalog.action,200,,AddToCart 1-2,text,true,,5428,491,3,3,https://petstore.octoperf.com/actions/Catalog.action,722,0,528
1708431108866,1735,PerStoreCart_T01_Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",AddToCart 1-1,,true,,5428,491,4,4,null,0,102,1561
1708431108967,1735,-31 /actions/Catalog.action,200,,AddToCart 1-1,text,true,,5428,491,4,4,https://petstore.octoperf.com/actions/Catalog.action,1735,0,1561
1708431109854,985,PerStoreCart_T01_Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",AddToCart 1-3,,true,,5428,491,4,4,null,0,3,799
1708431109856,985,-31 /actions/Catalog.action,200,,AddToCart 1-3,text,true,,5428,491,4,4,https://petstore.octoperf.com/actions/Catalog.action,984,0,799
1708431110354,532,PerStoreCart_T01_Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",AddToCart 1-4,,true,,5428,491,5,5,null,0,2,361
1708431110356,532,-31 /actions/Catalog.action,200,,AddToCart 1-4,text,true,,5428,491,5,5,https://petstore.octoperf.com/actions/Catalog.action,531,0,361
1708431110084,1223,PerStoreCart_T02_Login,200,"Number of samples in transaction : 4, number of failing samples : 0",AddToCart 1-2,,true,,14206,3119,5,5,null,0,43,0
1708431110085,182,-51 /actions/Account.action;jsessionid=EBAA6637FD63D0385ED5315D4EF1E102,200,,AddToCart 1-2,text,true,,3854,670,3,3,https://petstore.octoperf.com/actions/Account.action;jsessionid=EBAA6637FD63D0385ED5315D4EF1E102?signonForm=,182,0,0
1708431110268,855,-55 /actions/Account.action,200,,AddToCart 1-2,text,true,,5135,1779,5,5,https://petstore.octoperf.com/actions/Catalog.action,673,0,0
1708431110268,673,-55 /actions/Account.action-0,302,,AddToCart 1-2,,true,,227,1021,5,5,https://petstore.octoperf.com/actions/Account.action,673,0,0
1708431110943,180,-55 /actions/Account.action-1,200,,AddToCart 1-2,text,true,,4908,758,5,5,https://petstore.octoperf.com/actions/Catalog.action,179,0,0
1708431111128,181,-56 /actions/Catalog.action,200,,AddToCart 1-2,text,true,,4908,670,5,5,https://petstore.octoperf.com/actions/Catalog.action,180,0,0
1708431111345,5,Debug Sampler,200,OK,AddToCart 1-2,text,true,,309,0,5,5,null,0,0,0
1708431110703,701,PerStoreCart_T02_Login,200,"Number of samples in transaction : 4, number of failing samples : 0",AddToCart 1-1,,true,,14211,3119,6,6,null,0,3,0
1708431110704,174,-51 /actions/Account.action;jsessionid=EBAA6637FD63D0385ED5315D4EF1E102,200,,AddToCart 1-1,text,true,,3858,670,5,5,https://petstore.octoperf.com/actions/Account.action;jsessionid=EBAA6637FD63D0385ED5315D4EF1E102?signonForm=,174,0,0
1708431110879,351,-55 /actions/Account.action,200,,AddToCart 1-1,text,true,,5135,1779,5,5,https://petstore.octoperf.com/actions/Catalog.action,176,0,0
1708431110879,176,-55 /actions/Account.action-0,302,,AddToCart 1-1,,true,,227,1021,5,5,https://petstore.octoperf.com/actions/Account.action,176,0,0
1708431111055,175,-55 /actions/Account.action-1,200,,AddToCart 1-1,text,true,,4908,758,5,5,https://petstore.octoperf.com/actions/Catalog.action,174,0,0
1708431111231,175,-56 /actions/Catalog.action,200,,AddToCart 1-1,text,true,,4908,670,6,6,https://petstore.octoperf.com/actions/Catalog.action,174,0,0
1708431111406,1,Debug Sampler,200,OK,AddToCart 1-1,text,true,,310,0,6,6,null,0,0,0
1708431110852,561,PerStoreCart_T01_Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",AddToCart 1-5,,true,,5428,491,6,6,null,0,3,381
1708431110854,561,-31 /actions/Catalog.action,200,,AddToCart 1-5,text,true,,5428,491,6,6,https://petstore.octoperf.com/actions/Catalog.action,560,0,381
1708431111351,181,PerStoreCart_T03_SelectCategoryRandomly,200,"Number of samples in transaction : 2, number of failing samples : 0",AddToCart 1-2,,true,,3899,644,6,6,null,0,2,0
1708431111352,181,-57 /actions/Catalog.action,200,,AddToCart 1-2,text,true,,3562,644,6,6,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=CATS,181,0,0
1708431111534,0,Debug Sampler,200,OK,AddToCart 1-2,text,true,,337,0,6,6,null,0,0,0
1708431110889,684,PerStoreCart_T02_Login,200,"Number of samples in transaction : 4, number of failing samples : 0",AddToCart 1-4,,true,,14211,3119,6,6,null,0,1,0
1708431110889,170,-51 /actions/Account.action;jsessionid=EBAA6637FD63D0385ED5315D4EF1E102,200,,AddToCart 1-4,text,true,,3856,670,5,5,https://petstore.octoperf.com/actions/Account.action;jsessionid=EBAA6637FD63D0385ED5315D4EF1E102?signonForm=,170,0,0
1708431111059,341,-55 /actions/Account.action,200,,AddToCart 1-4,text,true,,5135,1779,6,6,https://petstore.octoperf.com/actions/Catalog.action,170,0,0
1708431111059,170,-55 /actions/Account.action-0,302,,AddToCart 1-4,,true,,227,1021,6,6,https://petstore.octoperf.com/actions/Account.action,170,0,0
1708431111230,170,-55 /actions/Account.action-1,200,,AddToCart 1-4,text,true,,4908,758,6,6,https://petstore.octoperf.com/actions/Catalog.action,170,0,0
1708431111401,172,-56 /actions/Catalog.action,200,,AddToCart 1-4,text,true,,4908,670,6,6,https://petstore.octoperf.com/actions/Catalog.action,171,0,0
1708431111573,1,Debug Sampler,200,OK,AddToCart 1-4,text,true,,312,0,6,6,null,0,0,0
1708431110843,735,PerStoreCart_T02_Login,200,"Number of samples in transaction : 4, number of failing samples : 0",AddToCart 1-3,,true,,14209,3119,6,6,null,0,4,0
1708431110843,185,-51 /actions/Account.action;jsessionid=EBAA6637FD63D0385ED5315D4EF1E102,200,,AddToCart 1-3,text,true,,3858,670,5,5,https://petstore.octoperf.com/actions/Account.action;jsessionid=EBAA6637FD63D0385ED5315D4EF1E102?signonForm=,185,0,0
1708431111030,367,-55 /actions/Account.action,200,,AddToCart 1-3,text,true,,5135,1779,6,6,https://petstore.octoperf.com/actions/Catalog.action,182,0,0
1708431111030,182,-55 /actions/Account.action-0,302,,AddToCart 1-3,,true,,227,1021,6,6,https://petstore.octoperf.com/actions/Account.action,182,0,0
1708431111212,185,-55 /actions/Account.action-1,200,,AddToCart 1-3,text,true,,4908,758,6,6,https://petstore.octoperf.com/actions/Catalog.action,184,0,0
1708431111398,183,-56 /actions/Catalog.action,200,,AddToCart 1-3,text,true,,4908,670,6,6,https://petstore.octoperf.com/actions/Catalog.action,182,0,0
1708431111581,0,Debug Sampler,200,OK,AddToCart 1-3,text,true,,308,0,6,6,null,0,0,0
1708431111407,177,PerStoreCart_T03_SelectCategoryRandomly,200,"Number of samples in transaction : 2, number of failing samples : 0",AddToCart 1-1,,true,,3903,645,6,6,null,0,2,0
1708431111408,177,-57 /actions/Catalog.action,200,,AddToCart 1-1,text,true,,3566,645,6,6,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=BIRDS,177,0,0
1708431111586,0,Debug Sampler,200,OK,AddToCart 1-1,text,true,,337,0,6,6,null,0,0,0
1708431111575,170,PerStoreCart_T03_SelectCategoryRandomly,200,"Number of samples in transaction : 2, number of failing samples : 0",AddToCart 1-4,,true,,3908,648,6,6,null,0,2,0
1708431111576,170,-57 /actions/Catalog.action,200,,AddToCart 1-4,text,true,,3568,648,6,6,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=REPTILES,170,0,0
1708431111747,0,Debug Sampler,200,OK,AddToCart 1-4,text,true,,340,0,6,6,null,0,0,0
1708431111582,182,PerStoreCart_T03_SelectCategoryRandomly,200,"Number of samples in transaction : 2, number of failing samples : 0",AddToCart 1-3,,true,,4164,644,6,6,null,0,1,0
