timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
2024/07/23 21:24:09,30,Homepage-0,200,OK,Thread Group 1-1,text,true,,664,396,1,1,http://192.168.2.109:1080/WebTours/,30,0,19
2024/07/23 21:24:10,2,Homepage-1,200,OK,Thread Group 1-1,text,true,,1007,453,1,1,http://192.168.2.109:1080/WebTours/header.html,2,0,0
2024/07/23 21:24:10,115,Homepage-2,200,OK,Thread Group 1-1,text,true,,1087,464,1,1,http://192.168.2.109:1080/cgi-bin/welcome.pl?signOff=true,114,0,0
2024/07/23 21:24:10,58,Homepage-3,200,OK,Thread Group 1-1,text,true,,1659,563,1,1,http://192.168.2.109:1080/WebTours/home.html,58,0,0
2024/07/23 21:24:10,145,Homepage-4,200,OK,Thread Group 1-1,text,true,,3157,567,1,1,http://192.168.2.109:1080/cgi-bin/nav.pl?in=home,143,0,0
2024/07/23 21:24:09,350,Homepage,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-1,,true,,7574,2443,1,1,null,347,82,19
2024/07/23 21:24:10,4,Homepage-0,200,OK,Thread Group 1-2,text,true,,664,396,2,2,http://192.168.2.109:1080/WebTours/,4,0,2
2024/07/23 21:24:10,4,Homepage-1,200,OK,Thread Group 1-2,text,true,,1007,453,2,2,http://192.168.2.109:1080/WebTours/header.html,4,0,0
2024/07/23 21:24:10,165,ClickOnSignUp-0,200,OK,Thread Group 1-1,text,true,,2669,581,2,2,http://192.168.2.109:1080/cgi-bin/login.pl?username=&password=&getInfo=true,162,0,0
2024/07/23 21:24:10,165,ClickOnSignUp,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,2669,581,2,2,null,162,1,0
2024/07/23 21:24:10,117,Homepage-2,200,OK,Thread Group 1-2,text,true,,1087,464,2,2,http://192.168.2.109:1080/cgi-bin/welcome.pl?signOff=true,114,0,0
2024/07/23 21:24:10,64,Homepage-3,200,OK,Thread Group 1-2,text,true,,1659,563,2,2,http://192.168.2.109:1080/WebTours/home.html,64,0,0
2024/07/23 21:24:10,188,FillDetailsAndClickContinue-0,200,OK,Thread Group 1-1,text,true,,1461,805,2,2,http://192.168.2.109:1080/cgi-bin/login.pl,185,0,0
2024/07/23 21:24:10,188,FillDetailsAndClickContinue,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,1461,805,2,2,null,185,0,0
2024/07/23 21:24:10,117,Homepage-4,200,OK,Thread Group 1-2,text,true,,3157,567,2,2,http://192.168.2.109:1080/cgi-bin/nav.pl?in=home,115,0,0
2024/07/23 21:24:10,306,Homepage,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-2,,true,,7574,2443,2,2,null,301,6,2
