timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,Hostname
2024/08/08 18:42:10,188,HomePage,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-1,true,,6133,1,1,0,1,0,CIN_Varaprasad
2024/08/08 18:42:10,125,ClickSignUpNow,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,true,,2669,1,1,0,1,0,CIN_Varaprasad
2024/08/08 18:42:10,123,FillDetailsClickContinue,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,true,,1467,1,1,0,1,0,CIN_Varaprasad
2024/08/08 18:42:10,205,HomePage,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-2,true,,6133,2,2,0,1,0,CIN_Varaprasad
2024/08/08 18:42:10,377,ClickOnContinue,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-1,true,,3726,2,2,0,1,0,CIN_Varaprasad
2024/08/08 18:42:11,123,ClickSignUpNow,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,true,,2669,2,2,0,1,0,CIN_Varaprasad
2024/08/08 18:42:11,125,FillDetailsClickContinue,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,true,,1467,2,2,0,1,0,CIN_Varaprasad
2024/08/08 18:42:11,258,SignOff,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,true,,2803,3,3,0,1,0,CIN_Varaprasad
2024/08/08 18:42:11,205,HomePage,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-3,true,,6133,2,2,0,1,0,CIN_Varaprasad
2024/08/08 18:42:11,121,ClickSignUpNow,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,true,,2669,2,2,0,1,0,CIN_Varaprasad
2024/08/08 18:42:11,384,ClickOnContinue,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-2,true,,3726,2,2,0,1,0,CIN_Varaprasad
2024/08/08 18:42:11,128,FillDetailsClickContinue,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,true,,1467,2,2,0,1,0,CIN_Varaprasad
2024/08/08 18:42:11,269,SignOff,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,true,,2803,3,3,0,1,0,CIN_Varaprasad
2024/08/08 18:42:11,243,HomePage,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-4,true,,6133,2,2,0,1,0,CIN_Varaprasad
2024/08/08 18:42:11,434,ClickOnContinue,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-3,true,,3726,2,2,0,1,0,CIN_Varaprasad
2024/08/08 18:42:12,154,ClickSignUpNow,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,true,,2669,2,2,0,1,0,CIN_Varaprasad
2024/08/08 18:42:12,142,FillDetailsClickContinue,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,true,,1467,3,3,0,1,0,CIN_Varaprasad
2024/08/08 18:42:12,263,SignOff,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-3,true,,2803,3,3,0,1,0,CIN_Varaprasad
2024/08/08 18:42:12,208,HomePage,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-5,true,,6133,2,2,0,1,0,CIN_Varaprasad
2024/08/08 18:42:12,114,ClickSignUpNow,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,true,,2669,2,2,0,1,0,CIN_Varaprasad
2024/08/08 18:42:12,377,ClickOnContinue,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-4,true,,3726,2,2,0,1,0,CIN_Varaprasad
2024/08/08 18:42:12,123,FillDetailsClickContinue,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,true,,1467,2,2,0,1,0,CIN_Varaprasad
2024/08/08 18:42:12,277,SignOff,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-4,true,,2803,3,3,0,1,0,CIN_Varaprasad
2024/08/08 18:42:12,217,HomePage,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-6,true,,6133,2,2,0,1,0,CIN_Varaprasad
2024/08/08 18:42:12,399,ClickOnContinue,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-5,true,,3726,2,2,0,1,0,CIN_Varaprasad
2024/08/08 18:42:13,134,ClickSignUpNow,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,true,,2669,2,2,0,1,0,CIN_Varaprasad
2024/08/08 18:42:13,138,FillDetailsClickContinue,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,true,,1466,2,2,0,1,0,CIN_Varaprasad
